Produit,Laboratoire,Quantité,DDP,PPA,image_path,Famille,Conseils,Composition
MAGPHARM THYMOSEPTINE SIROP 100ML C/48,MAG PHARM,59,2028-03-01,599.0,,,,
NOVAMEDIC VASELINE CODEX BLANCHE 40G B/18, ,51,2028-03-01,100.0,,,,
SAFFEC CARE COTIFLEX COTON DISQUES DEMAQUILLANTS P/12 C/48, ,38,2028-03-01,177.87,,,,
DEXERYL CREME EMOLLIANTE T/250G,PIERRE FABRE,1,2028-03-01,1099.0,,,,
DEVLOR MAGNESIUM 400 MG+VIT(B1+B6+B12) BT/20 CP C/54, ,1,2028-04-01,1100.0,,,,
NUTRISANTE VITAVEA ULTRABIOTIQUE INSTANT B/10 GLS, ,2,2028-04-01,1177.06,,,,
AMB NEWGATE VITAMINE C EN POUDRE 50G C/120, ,4,2028-04-01,800.0,,,,
BPN  METHYLCOBALAMINE 250 MICROGRAMMES B60.B12, ,2,2028-04-01,1000.0,,,,
AYSHILA GEL INTIME 150ML,EURL KHALILE GROUPE,38,2028-04-01,539.6,,,,
TOUCHER SHAMPOING FORTIFIANT ET ANTI-CHUTE 250ML, ,1,2028-05-01,1900.0,,,,
KALOSE DELICE SOLUTION ANTI POUX C/56 50ML  , ,0,2028-05-01,0.0,,,,
SCI  NUTRIGEST+CHEVEUX ET ONGLES BT/30 GELULES C/48, ,2,2028-05-01,1480.0,,,,
SS.ALBUPLAST sparadra PERFORE 18cm,AUCUN,40,2028-05-01,785.93,,,,
VENUS ECRAN TOTAL SPF 60 TEINTE T/50ML, ,6,2028-05-01,330.0,,,,
VENUS ECRAN TOTAL SPF60 INVISIBLE - TUBE/50ML        , ,0,2028-05-01,330.0,,,,
DERMASOFT GEL MAINS HYDROALCOOLIQUE BACTERCLEAN C/28 80ML, ,6,2028-05-01,93.1,,,,
DERMASOFT GEL MAINS HYDROALCOOLIQUE BACTERCLEAN C/28 80ML, ,0,2028-05-01,93.1,,,,
FORSAGEL MAGNESIUM,GENIS,16,2028-05-01,1300.0,,,,
MUSTELA LINGETTE FRAGANCE (VERT), ,12,2028-06-01,1270.0,,,,
SOLYNE ENERGY VIT C+ZINC+GINSENG BT/30 C/90,MAG PHARM,3,2028-06-01,650.0,,,,
UPS PROSUITEX DENT JUNIOR PROPOLIS ICE CREAM 6ANS ET PLUS 50G P/12 C/72, ,10,2028-06-01,120.0,,,,
KALOS MOSTAL SOLUTION SPRAY POUR FORTIFIE LES CHEVEUX 50ML C/56, ,2,2028-06-01,2999.0,,,,
SANEWTOL GEL TUBE 75G 75  ,NEW GALENICA Production,0,2028-06-01,415.0,,,,
NEWBO 0.25% T 30G -MEBO-,NEW GALENICA Production,16,2028-06-01,1200.0,,,,
LEADERMAX APHTES GEL BRULURES  T/15ML , ,0,2028-07-01,450.0,,,,
DERMILYNE HEMO PLUS 50GR CREME HEMORROIDES  FISSURES ANALES C/100, ,39,2028-07-01,785.0,,,,
HIGEEN BARRAD GM T/120ML            , ,0,2028-08-01,499.0,,,,
KALOS CORNEX GEL 15G   C/180,AUCUN,2,2028-08-01,890.0,,,,
CHICCO SHAMPOING POUR BEBE 500ML C/6, ,3,2028-08-01,1584.0,,,,
JUVAMINE MAGNESIUM +B6/300MG/2MG COMP B/30, ,9,2028-08-01,1250.0,,,,
KALOS CORNEX GEL 15G   C/180,AUCUN,0,2028-08-01,890.0,,,,
BPN CHARDON MARIE 500MG B/30 GELS, ,3,2028-08-01,1500.0,,,,
COMPRESSE NON STERILES(PURIFIEE) 10CM*10CM , ,0,2028-08-01,77.3,,,,
NEWTRIL BAIN DB F/125ML ,NEW GALENICA Production,0,2028-08-01,320.0,,,,
UL JUVAMINE MARIE ROSE LOTION ANTI-POUX EXPRESS 100ML C/12, ,3,2028-09-01,2000.0,,,,
LRP CICAPLAST BAUME B5+ ULTRA REPARATEUR APAISANT T/100ML , ,0,2028-09-01,0.0,,,,
LRP CICAPLAST BAUME B5+ ULTRA REPARATEUR APAISANT T/100ML , ,0,2028-09-01,0.0,,,,
VOMITEB 100 ML SIROP ,PHYTOPHARM,0,2028-09-01,480.0,,,,
